docid;comment;label
100204;නියම සිංහල මහත්මයෙක්;POSITIVE
100204;අන්න මිනිස්සු;POSITIVE
100204;ගොවි මහත්තයාගේ ගෙවත්තේ ලබු වැලේ ගෙඩි 50ක් පමණ හැදේවි ඒ මහතාගේ කුසගින්න නිවාගන්න  ඔබ කළ දේ හරි;POSITIVE
100204;වන සිවුපාවන් වැනි මිනිසුන් මද දෙවි දේවතාවුන් වැනි මිනිසුන් ඇත  ඒ දේවතාවන්  දිව්‍යන්ගනාවන් මේ ලෝ තලයේ වාසනාවන්  ගීතයෙන් කියවෙන්නේ ඔබ වැනි අය ගැනයි ;POSITIVE
100204;අයියෝ සල්ලි;NEGATIVE
100204;අනේ මටත් හිතෙනවා ඒ හරියෙන් ම ගෙයක් හදාගන්න දෙන්න දෙන්න ලැබෙනවා කියලා කියමනක් තියෙනවානේ;POSITIVE
100204;ඒක හොද ක්‍රියාවක් වුණත් සොරකමට අනුබල දීමක් නිසා අනුමත කරන්න පුලුවන්ද;NEGATIVE
100204;දීය යුතු දඩුවම ලබු ගෙඩියේ අයිතිකරු විසින් ලබා දී ඇත සොරාගත් අයට මෙය මතක ඇති තාක් කල් මානසික නිදහසක් නැහැ;POSITIVE
100204;මටත් ආසයි ලබු කිරිබත් කන්න;POSITIVE
100204;උපුල් පහන් ඔබලාට ස්තූතියි;POSITIVE
100204;ලබු කිරිබත් වලට වඩා රසයි ලබු කොළෙන් හදන එක්තරා කෑමක්;POSITIVE
100204;ලබු ඕනෑවට වඩා කෑමෙන් ශරීරයේ ඇට මෙලෙක් වෙනවා බොහොම පරිස්සමින් හොදේ;NEGATIVE
100204;ඒ මනුෂ්‍යයා හොඳ කෙනෙක් හරිදේ ඒකයි පින්වැඩි කමට තව තව ලබු වැඩියෙන් හැදෙයිමේකෙන් හොරාත් හැදෙයි ලබු අයිතිකරුට දෙවියන්ගේ ආශිර්වාදය ලැබේවා දෙන තරමට තමයි ලැබෙන්නේ;POSITIVE
100204;හිතහොද මනුස්සයෙක්;POSITIVE
100204;හොරු බෝ කරන කෙනෙක්;NEGATIVE
100204;නිමල් වගේ අය තමයි පොල් ගෙඩියටත් උසාවි යන්නේ මිනිසුන් ගැන ඔයිට වඩා හිතන්න ඕන අපි කවුරුත් යනකොට මොනවත් අරන් යන්නේ නෑ ඉන්නකං අනිත් අයට උපකාර කරන්න ඕන මේක ආදර්ශයට ගත යුතු ක්‍රියාවක්;POSITIVE
100204;නෑ නිමල් මහත්තයා එයා අයිත් හොරකම් කරන එකක් නැ එයාට නියම දඬුවම තමයි දුන්නේ ගහන බනින ක්‍රමයට වඩා ඒක හොඳයි;POSITIVE
100204;කාටත් හොද වටිනා ආදර්ශයක්;POSITIVE
100204;හිත හොද වැඩි උනාමත් ප්‍රශ්න;NEGATIVE
100475;මිනී මැරීමට තැත් කිරීම එල්ලුම් ගහ හිමිවන වරදක් වැරදි කරුවනට දඬුවම් ලැබේවා;NEGATIVE
100475;මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ;NEGATIVE
100475;හිතක් පපුවක් නැති මිනිස්සු;NEGATIVE
100475;ඉතා හොදයි;POSITIVE
100475;මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ;NEGATIVE
